304.805, 129.491, 6.447,  4.379 False
304.590, 129.491, 6.488,  4.412 False
304.372, 129.491, 6.534,  4.445 False
304.154, 129.493, 6.576,  4.478 False
303.933, 129.497, 6.625,  4.511 False
303.711, 129.502, 6.673,  4.544 False
303.488, 129.508, 6.727,  4.577 False
303.262, 129.514, 6.778,  4.610 False
303.035, 129.521, 6.831,  4.643 False
302.806, 129.530, 6.880,  4.676 False
302.576, 129.538, 6.932,  4.709 False
302.344, 129.548, 6.979,  4.742 False
302.110, 129.559, 7.029,  4.775 False
301.875, 129.569, 7.076,  4.808 False
301.638, 129.580, 7.126,  4.841 False
301.400, 129.592, 7.172,  4.874 False
301.160, 129.604, 7.221,  4.907 False
300.918, 129.616, 7.266,  4.940 False
300.675, 129.629, 7.316,  4.973 False
300.431, 129.643, 7.361,  5.006 False
300.184, 129.657, 7.410,  5.039 False
299.937, 129.672, 7.457,  5.072 False
299.687, 129.688, 7.506,  5.105 False
299.437, 129.704, 7.552,  5.138 False
299.184, 129.722, 7.602,  5.171 False
298.930, 129.739, 7.648,  5.204 False
298.675, 129.756, 7.698,  5.237 False
298.417, 129.773, 7.744,  5.270 False
298.159, 129.791, 7.794,  5.303 False
297.898, 129.808, 7.840,  5.336 False
297.636, 129.826, 7.889,  5.369 False
297.373, 129.845, 7.935,  5.402 False
297.108, 129.863, 7.985,  5.435 False
296.841, 129.882, 8.031,  5.468 False
296.573, 129.902, 8.080,  5.501 False
296.303, 129.922, 8.126,  5.534 False
296.032, 129.941, 8.175,  5.567 False
295.759, 129.961, 8.220,  5.600 False
295.485, 129.981, 8.260,  5.633 False
295.209, 130.002, 8.294,  5.666 False
294.933, 130.022, 8.325,  5.699 False
294.655, 130.042, 8.351,  5.732 False
294.377, 130.063, 8.374,  5.765 False
294.099, 130.084, 8.394,  5.798 False
293.820, 130.105, 8.412,  5.831 False
293.540, 130.126, 8.427,  5.864 False
293.259, 130.147, 8.441,  5.897 False
292.979, 130.168, 8.453,  5.930 False
292.698, 130.189, 8.463,  5.963 False
292.416, 130.210, 8.472,  5.996 False
292.135, 130.231, 8.479,  6.029 False
291.853, 130.252, 8.486,  6.062 False
291.571, 130.273, 8.492,  6.095 False
291.289, 130.294, 8.496,  6.128 False
291.006, 130.314, 8.500,  6.161 False
290.724, 130.335, 8.504,  6.194 False
290.441, 130.356, 8.506,  6.227 False
290.158, 130.377, 8.508,  6.260 False
289.875, 130.397, 8.510,  6.293 False
289.593, 130.418, 8.511,  6.326 False
289.310, 130.438, 8.511,  6.359 False
289.027, 130.458, 8.511,  6.392 False
288.744, 130.478, 8.511,  6.425 False
288.461, 130.498, 8.511,  6.458 False
288.178, 130.517, 8.510,  6.491 False
287.895, 130.536, 8.509,  6.524 False
287.612, 130.556, 8.508,  6.557 False
287.329, 130.574, 8.506,  6.590 False
287.046, 130.592, 8.504,  6.623 False
286.764, 130.611, 8.503,  6.656 False
286.481, 130.629, 8.501,  6.689 False
286.198, 130.647, 8.499,  6.722 False
285.916, 130.665, 8.497,  6.755 False
285.633, 130.683, 8.494,  6.788 False
285.350, 130.700, 8.492,  6.821 False
285.068, 130.717, 8.489,  6.854 False
284.786, 130.734, 8.487,  6.887 False
284.503, 130.751, 8.485,  6.920 False
284.221, 130.767, 8.482,  6.953 False
283.939, 130.784, 8.479,  6.986 False
283.657, 130.800, 8.477,  7.019 False
283.375, 130.816, 8.474,  7.052 False
